Average Hourly Customers,Max Hourly Queue Length,Total Daily Customers,Daily Walkout Customers,Market Milk Price,Market Coffee Price,Market Sugar Price,Daily Milk Cost,Daily Coffee Cost,Daily Sugar Cost,Daily Employee Cost,Gross Daily Income,Net Daily Income,Gross Daily Expense
14.3,0.03972222222222217,165,83,0.1795755429131448,0.04135327769162666,0.0020289373344940355,76.48851394191463,164.11243867967923,5.463026776953843,114.0,683.9242196645694,323.8602402660216,360.06397939854776
34.98,0.9540833333333335,174,74,0.17637103177525648,0.04428869343219463,0.0019081841601624276,80.42014817357371,186.70644675978394,5.277333409661725,114.0,724.3900630131853,337.986134670166,386.40392834301934
40.31,3.5401111111111097,166,82,0.17974241964541549,0.05059102038728523,0.0019465910087564547,74.17055147903686,201.2037004099089,5.14814854784343,114.0,679.7958187821944,285.27341834540516,394.5224004367892
35.87,3.0663888888888895,170,78,0.1791826009706537,0.04705472567557306,0.002077697489878736,79.15258962697384,192.0173117420535,5.760561150994672,114.0,710.3239712879848,319.3935087679628,390.930462520022
23.14,0.40038888888888907,169,79,0.17791610120267115,0.048677496765977636,0.0020691732390762147,77.60889054890738,196.076777816505,5.517385593117934,114.0,692.48935848743,299.2863045288997,393.2030539585303
11.61,0.03224999999999996,168,80,0.17632029290713092,0.05098951590748347,0.002205981295631426,76.74931742883395,207.3556675125948,6.046564874211242,114.0,695.9639343374628,291.81238452182276,404.15154981564
4.73,0.013138888888888875,166,82,0.17289237151541897,0.050441842940448144,0.002157567636063138,76.43490653641857,201.29327811823447,5.749433613310283,114.0,689.0185870911798,291.54096882321653,397.4776182679633
1.36,0.0037777777777777727,164,84,0.16971634432734556,0.049407800432093384,0.001991882056339291,72.91272795671944,194.07427525025096,5.166461361021861,114.0,676.1396215627976,289.9861569948054,386.1534645679922
,,172,76,0.17056521280756345,0.05217246000526028,0.0021558570479944176,75.38310970011993,217.60293906181172,5.942352264687598,114.0,721.0914716286609,308.1630706020416,412.92840102661927
,,167,81,0.16835902420452334,0.05309677086957378,0.0019101749768615265,73.05449285706653,211.2473218274558,5.080275027126664,114.0,686.0710556233271,282.68896591167805,403.38208971164903
,,173,75,0.16863800657606193,0.05014935173061934,0.001862660127255284,76.23109381869692,210.70918558084455,5.174719605117168,114.0,719.6741633304148,313.55916432575617,406.1149990046586
,,173,75,0.17596380454725216,0.047980953614739766,0.001870843634169663,78.89418178930732,199.6951848902168,4.977613002212193,114.0,713.2975529851512,315.73057330341493,397.5669796817363
,,161,87,0.17238645906938463,0.04863849814849282,0.00198732596207026,72.39459893733266,185.41207186534356,5.130201613846992,114.0,662.2432980794866,285.3064256629634,376.9368724165232
,,164,84,0.17695718196272747,0.045646616492406665,0.002247095687074528,74.61652490133096,179.81072568162932,5.92039751568228,114.0,679.9321451306924,305.5844970320499,374.34764809864254
,,168,80,0.1762711204119529,0.046275662066901604,0.0024950337855693906,78.82579248540914,187.8628311680964,6.838615624685337,114.0,693.6484272740491,306.12118799585824,387.5272392781909
,,170,78,0.1741522298538565,0.04851099872810128,0.0027226052154474983,78.81371960716461,200.00110578654244,7.331081112601242,114.0,701.0437882693149,300.8978817630066,400.1459065063083
,,175,73,0.17294207496151992,0.04889054806376861,0.0026908652524064037,78.02133227797339,206.8246005157341,7.5720293163406165,114.0,726.0284947920181,319.6105326819701,406.41796211004805
,,167,81,0.17731902655289764,0.047302222833827554,0.0030249052400201674,78.12125144318789,188.76680948936257,7.901537621165445,114.0,690.9579959519102,302.1683973981943,388.7895985537159
,,176,72,0.17852590488648776,0.04777699244146737,0.003108131112992481,82.26088745898873,200.70804844677363,8.53645528976313,114.0,726.0929493887047,320.58755819317923,405.5053911955255
,,167,81,0.17782777373906386,0.045143647855570526,0.0031478846075380837,73.68420407020193,180.8773318520252,8.255256057700857,114.0,692.5716607557913,315.7548687758633,376.816791979928
,,175,73,0.1733146374664154,0.04742134069362214,0.002640710385303723,80.11232381094582,200.11842867436192,7.417496004432477,114.0,726.1862163352902,324.53796784555,401.6482484897402
,,169,79,0.17577651840946792,0.045686049684064346,0.0027162611621694343,76.17752843292432,186.04318496507534,7.25284144545825,114.0,703.867853060859,320.3942982174011,383.4735548434579
,,158,90,0.17480746909116876,0.046223273888297084,0.0024347130332580506,72.47783952797556,178.93252004436914,6.2643327607220955,114.0,659.0667796080571,287.39208727499033,371.6746923330668
,,174,74,0.17476264502156627,0.04365771440417925,0.0026450079368763976,79.02593793395924,180.88872845283095,7.491172526025784,114.0,715.9968387954375,334.59099988262153,381.40583891281597
,,169,79,0.1736633022947689,0.04309219962981262,0.0023903514995194373,73.00612721098648,172.35896127215273,6.259947442886435,114.0,687.6765585805117,322.05152265448606,365.62503592602565
,,169,79,0.17157733634714442,0.044603586083813235,0.002370309064010537,72.15790828992616,179.7384352316166,6.347213518646348,114.0,687.3508205062442,315.1072634660551,372.2435570401891
,,162,86,0.16963544462388114,0.04226717496482613,0.0019792692171580572,68.17601314054434,162.29544372374306,5.173030980764133,114.0,662.5682837070053,312.92379586195375,349.6444878450516
,,172,76,0.1730614616013031,0.04058197533499649,0.0016987983210186878,76.74395726280764,170.4225724578342,4.6894533816059925,114.0,718.1167852732913,352.26080217104345,365.8559831022478
,,163,85,0.16860090449941914,0.037374366015723214,0.0015014035706181806,68.63869819378323,146.77347630810272,3.9783258651118683,114.0,675.8005345846997,342.4100342177019,333.3905003669978
,,169,79,0.16067715161278656,0.038429017644878924,0.0015228198355995686,70.33675512455494,156.45279717275378,4.148407515799661,114.0,699.7465494965206,354.80858968341227,344.93795981310836
